,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,restaurants,bar,park,subway_station,FELONY,MISDEMEANOR,VIOLATION,target
74,36005013500,3908.0,23279.0,5337.0,14125.0,1761.0,40.2,55.899999999999984,16.5,43.5,16.800000000000004,7.200000000000002,16.0,1.6,41.60000000000001,1244.0,75.39999999999998,18.4,6.200000000000002,0.0,12.3,60.0,2.0,39.0,0.0,22,42,15,79
75,36005013800,2989.0,79773.0,16378.0,39479.0,5942.0,5.5,0.0,31.5,13.2,28.0,10.2,17.199999999999996,2.2,35.60000000000001,1420.0,72.70000000000002,22.2,5.1000000000000005,0.0,7.900000000000001,442.0,13.0,12.0,0.0,3,7,6,16
76,36005014100,5355.0,32500.0,6835.0,20805.0,7504.0,26.199999999999992,31.600000000000005,21.2,37.0,24.5,4.200000000000002,13.099999999999996,2.0,43.8,2163.0,88.29999999999997,8.900000000000004,1.9,0.9000000000000002,13.099999999999996,60.0,8.0,60.0,0.0,43,71,11,125
77,36005014300,968.0,12000.0,5279.0,9332.0,1813.0,52.20000000000001,46.600000000000016,12.0,59.79999999999998,15.699999999999996,2.3999999999999995,10.0,4.1000000000000005,39.7,249.0,94.0,4.4,1.6000000000000003,0.0,17.800000000000004,40.0,5.0,28.0,0.0,14,26,5,45
78,36005014400,6049.0,19418.0,3697.0,15457.0,2859.0,46.399999999999984,56.20000000000001,16.900000000000002,42.3,27.199999999999992,6.0,7.5,0.4,58.5,1789.0,74.0,24.6,1.5,0.0,19.7,80.0,11.0,11.0,0.0,19,58,19,96
79,36005014500,7360.0,22711.0,11074.0,9229.0,1404.0,50.399999999999984,58.600000000000016,12.7,48.399999999999984,21.2,4.299999999999999,13.5,0.0,52.399999999999984,1952.0,75.70000000000002,21.300000000000004,3.0,0.0,21.5,60.0,3.0,33.0,0.0,23,63,11,97
80,36005014701,7023.0,14334.0,4251.0,8401.0,1956.0,61.0,68.29999999999998,13.099999999999996,53.70000000000001,23.0,4.799999999999999,5.4,2.6000000000000005,46.0,1735.0,74.39999999999998,22.0,3.600000000000001,0.0,24.800000000000008,40.0,0.0,23.0,0.0,31,69,17,117
81,36005014702,5243.0,17782.0,2306.0,7962.0,1099.0,57.79999999999999,79.0,12.400000000000004,51.2,23.5,3.8,9.099999999999998,2.2,44.899999999999984,1436.0,88.60000000000002,9.8,1.5,0.0,19.7,60.0,0.0,27.0,0.0,19,36,11,66
82,36005014900,4348.0,27212.0,7590.0,12449.0,1544.0,48.5,53.79999999999999,17.599999999999994,34.2,25.199999999999992,11.599999999999996,11.3,4.200000000000001,41.60000000000001,1430.0,77.0,11.0,12.0,0.0,18.1,60.0,1.0,32.0,0.0,14,48,10,72
83,36005015100,5458.0,30339.0,4993.0,14429.0,1642.0,28.199999999999992,37.60000000000001,21.9,43.5,16.0,10.0,8.599999999999998,1.8000000000000005,42.39999999999999,1935.0,82.20000000000002,14.300000000000002,3.5,0.0,10.400000000000002,60.0,0.0,33.0,1.0,25,57,23,105
